Config,Frames,Frame time [ms],Cycles/ 10 frames [GCycles],Read [MB/frame],Write [MB/frame],Read [MB/s],Write [MB/s],Capture time [s],Comment
perf_lucy_gles_filament_1,10,0.11,1.1,986.8946,699.1977,8710.4551,6171.2066,1.1329999999999996s,
perf_lucy_gles_filament_2,10,0.11,1.09,975.0858,696.3781,8667.4295,6190.0278,1.125s,
perf_lucy_gles_filament_3,10,0.11,1.05,936.7387,663.0815,8665.483,6133.9641,1.081s,
perf_lucy_gles_ue4_1,10,0.112,1.08,978.8894,693.6953,8787.1579,6227.0677,1.1139999999999999s,
perf_lucy_gles_ue4_2,10,0.11,1.09,979.3715,685.1376,8721.0288,6100.9584,1.1229999999999993s,
perf_lucy_gles_ue4_3,10,0.11,1.11,986.672,698.9907,8670.2289,6142.2736,1.1380000000000003s,
perf_lucy_vk_filament_1,10,0.202,1.88,1624.8336,1541.5936,6991.5389,6633.3632,2.324s,
perf_lucy_vk_filament_2,10,0.24,1.88,1624.8757,1542.374,6736.6322,6394.5854,2.412s,
perf_lucy_vk_filament_3,10,0.245,1.92,1739.5638,1690.106,7034.2246,6834.2337,2.473s,
perf_lucy_vk_ue4_1,10,0.24,1.89,1744.9957,1753.1307,7365.959,7400.2982,2.3689999999999998s,
perf_lucy_vk_ue4_2,10,0.2,1.85,1615.3424,1573.2954,7406.4301,7213.6423,2.180999999999999s,
perf_lucy_vk_ue4_3,10,0.22,1.87,1626.053,1541.1099,6878.3968,6519.0776,2.3640000000000008s,
perf_suzanne_gles_filament_1,10,0.104,1.06,948.2642,665.2587,8659.9469,6075.4217,1.0950000000000002s,
perf_suzanne_gles_filament_2,10,0.112,1.05,871.6912,658.0008,8086.1893,6103.9034,1.0780000000000003s,
perf_suzanne_gles_filament_3,10,0.112,1.05,977.1013,669.148,9030.5109,6184.3621,1.0820000000000007s,
perf_suzanne_gles_ue4_1,10,0.111,1.05,978.5917,669.8939,9094.7185,6225.7797,1.0759999999999996s,
perf_suzanne_gles_ue4_2,10,0.104,1.05,956.0034,664.1391,8860.0875,6155.1357,1.0789999999999997s,
perf_suzanne_gles_ue4_3,10,0.1,1,886.6786,641.9502,8600.1809,6226.4813,1.0310000000000001s,
perf_suzanne_vk_filament_1,10,0.4,1.99,1832.3323,1788.7365,4406.7636,4301.9157,4.1579999999999995s,bad sample
perf_suzanne_vk_filament_2,10,0.4,1.97,1707.5352,1724.7635,4107.6141,4149.0582,4.157s,bad sample
perf_suzanne_vk_filament_3,10,0.206,1.83,1694.0957,1659.109,7781.7903,7621.0795,2.1770000000000014s,
perf_suzanne_vk_ue4_1,10,0.21,1.8,1693.5504,1675.0375,7800.7848,7715.5111,2.1709999999999994s,
perf_suzanne_vk_ue4_2,10,0.22,1.9,1923.751,1741.6302,8238.7625,7458.8018,2.3350000000000004s,
perf_suzanne_vk_ue4_3,10,0.24,1.92,1953.8167,1720.4066,7958.5203,7007.7662,2.455s,
